Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
186,0.51,0.9,0.93,0.76,0.86,0.92,0.8547,0.6005,0.7812,0.61,0.88,0.92
187,0.52,0.9,0.93,0.76,0.86,0.92,0.854,0.6052,0.7812,0.62,0.88,0.92
188,0.51,0.9,0.93,0.76,0.86,0.92,0.854,0.6005,0.7805,0.61,0.88,0.92
189,0.5,0.9,0.93,0.76,0.86,0.92,0.8561,0.5916,0.7799,0.6,0.88,0.92
190,0.5,0.9,0.93,0.76,0.86,0.92,0.8547,0.5918,0.777,0.61,0.88,0.92
191,0.51,0.9,0.93,0.76,0.86,0.92,0.8554,0.596,0.7813,0.61,0.88,0.92
192,0.51,0.9,0.93,0.76,0.86,0.92,0.8554,0.596,0.7799,0.61,0.88,0.92
193,0.5,0.9,0.93,0.75,0.86,0.91,0.8519,0.589,0.7784,0.6,0.88,0.92
194,0.51,0.9,0.93,0.76,0.86,0.92,0.8554,0.5933,0.7798,0.61,0.88,0.92
195,0.51,0.9,0.93,0.74,0.87,0.92,0.8569,0.5877,0.784,0.6,0.88,0.92
196,0.5,0.9,0.93,0.75,0.86,0.92,0.8547,0.586,0.777,0.6,0.88,0.92
197,0.51,0.9,0.93,0.76,0.86,0.91,0.8498,0.5978,0.7776,0.61,0.88,0.92
198,0.5,0.9,0.93,0.76,0.86,0.91,0.8498,0.5859,0.7735,0.6,0.88,0.92
199,0.5,0.9,0.93,0.75,0.86,0.91,0.8519,0.5875,0.7777,0.6,0.88,0.92
200,0.51,0.9,0.93,0.76,0.86,0.91,0.8505,0.5963,0.7762,0.61,0.88,0.92
201,0.5,0.9,0.93,0.76,0.86,0.91,0.8512,0.5903,0.777,0.6,0.88,0.92
202,0.52,0.9,0.93,0.77,0.87,0.91,0.8526,0.611,0.7825,0.62,0.88,0.92
203,0.51,0.9,0.93,0.74,0.87,0.91,0.8519,0.5923,0.7811,0.61,0.88,0.92
204,0.52,0.9,0.93,0.76,0.87,0.91,0.8505,0.6036,0.7797,0.62,0.88,0.92
205,0.5,0.9,0.93,0.76,0.86,0.91,0.8498,0.5888,0.7748,0.6,0.88,0.92
206,0.51,0.9,0.93,0.76,0.87,0.91,0.8519,0.5975,0.7797,0.61,0.88,0.92
207,0.51,0.9,0.93,0.75,0.86,0.91,0.8512,0.5935,0.7783,0.61,0.88,0.92
208,0.51,0.9,0.93,0.75,0.86,0.91,0.8498,0.592,0.7776,0.61,0.88,0.92
209,0.5,0.9,0.93,0.76,0.86,0.91,0.8491,0.5916,0.7756,0.6,0.88,0.92
210,0.51,0.9,0.93,0.75,0.87,0.91,0.8519,0.5935,0.7804,0.61,0.88,0.92
211,0.51,0.9,0.93,0.76,0.86,0.91,0.8498,0.5933,0.7755,0.61,0.88,0.92
212,0.5,0.9,0.93,0.76,0.86,0.91,0.8519,0.5918,0.7784,0.61,0.88,0.92
213,0.51,0.9,0.93,0.76,0.86,0.91,0.8512,0.5963,0.7783,0.61,0.88,0.92
214,0.52,0.9,0.93,0.77,0.87,0.91,0.8505,0.611,0.7833,0.62,0.88,0.92
215,0.52,0.9,0.93,0.76,0.87,0.91,0.8512,0.6067,0.7833,0.62,0.88,0.92
216,0.52,0.9,0.93,0.77,0.87,0.91,0.8526,0.6079,0.7826,0.62,0.88,0.92
217,0.54,0.9,0.93,0.77,0.87,0.92,0.8505,0.6238,0.7875,0.64,0.89,0.92
218,0.54,0.9,0.93,0.76,0.87,0.91,0.8498,0.6196,0.7847,0.63,0.88,0.92
219,0.54,0.9,0.93,0.76,0.87,0.92,0.8512,0.6196,0.7861,0.63,0.89,0.92
220,0.53,0.9,0.92,0.76,0.87,0.92,0.849,0.6147,0.7833,0.63,0.88,0.92
221,0.54,0.9,0.93,0.76,0.87,0.92,0.8533,0.6169,0.7882,0.63,0.89,0.92
222,0.54,0.9,0.93,0.76,0.87,0.92,0.8554,0.6196,0.7917,0.63,0.89,0.92
223,0.55,0.9,0.93,0.76,0.87,0.91,0.8505,0.6186,0.7889,0.63,0.89,0.92
224,0.54,0.9,0.93,0.76,0.87,0.92,0.8512,0.6163,0.7875,0.63,0.89,0.92
225,0.53,0.9,0.93,0.77,0.87,0.91,0.849,0.6125,0.7826,0.63,0.88,0.92
226,0.53,0.9,0.93,0.77,0.87,0.91,0.8512,0.6173,0.7868,0.63,0.89,0.92
227,0.54,0.9,0.93,0.76,0.87,0.91,0.8498,0.6179,0.7867,0.63,0.89,0.92
228,0.53,0.9,0.93,0.77,0.87,0.91,0.8512,0.6157,0.7847,0.63,0.88,0.92
229,0.54,0.9,0.93,0.77,0.87,0.91,0.8519,0.6222,0.7854,0.64,0.89,0.92
230,0.53,0.9,0.93,0.77,0.87,0.91,0.8526,0.6157,0.7833,0.63,0.88,0.92
231,0.54,0.9,0.93,0.77,0.87,0.91,0.8526,0.6222,0.786,0.64,0.89,0.92
232,0.54,0.9,0.93,0.76,0.87,0.91,0.8519,0.6163,0.7839,0.63,0.88,0.92
