Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
151,0.77,0.88,0.92,0.6,0.91,0.92,0.8526,0.6638,0.8051,0.67,0.9,0.92,0.9731272964504734,0.6758512568588387,0.9407639024538148
152,0.78,0.89,0.93,0.59,0.92,0.92,0.8561,0.6654,0.8094,0.67,0.9,0.92,0.9733340763164793,0.674822904432782,0.9422898795462437
153,0.79,0.89,0.92,0.59,0.91,0.92,0.8533,0.6672,0.8087,0.67,0.9,0.92,0.9733413722207837,0.6673932716360336,0.9415038295870978
154,0.82,0.88,0.92,0.55,0.92,0.92,0.8519,0.6567,0.8041,0.66,0.9,0.92,0.9732401751247484,0.6667646490007907,0.9406435923838607
155,0.76,0.88,0.93,0.57,0.91,0.92,0.854,0.6399,0.8032,0.65,0.9,0.92,0.9730632640850325,0.6403008354176016,0.9403759016214477
156,0.79,0.88,0.93,0.55,0.92,0.92,0.8512,0.6415,0.8021,0.65,0.9,0.92,0.9730061344854728,0.657453709677007,0.9411912913196582
157,0.77,0.88,0.93,0.55,0.91,0.92,0.854,0.6365,0.8019,0.64,0.9,0.92,0.972859262579455,0.6466798247554729,0.940997515915334
158,0.81,0.88,0.93,0.61,0.92,0.92,0.8505,0.6892,0.8082,0.7,0.9,0.92,0.9735448784712711,0.6880980609131688,0.9421181844444368
159,0.78,0.88,0.93,0.55,0.92,0.92,0.8533,0.6397,0.8033,0.65,0.9,0.92,0.973280805379525,0.6519840911497241,0.941007119083021
160,0.77,0.88,0.92,0.57,0.91,0.92,0.8533,0.643,0.806,0.65,0.9,0.92,0.9732894689000053,0.6423778646949483,0.9420050149123345
161,0.79,0.88,0.93,0.57,0.92,0.92,0.8533,0.6576,0.8089,0.66,0.9,0.92,0.9730561679183507,0.6499307980389616,0.9402961166576844
162,0.78,0.88,0.92,0.59,0.92,0.92,0.8505,0.6654,0.8067,0.67,0.9,0.92,0.9732703626329932,0.6456976694254072,0.9405654673297803
163,0.77,0.88,0.92,0.58,0.91,0.92,0.8505,0.6495,0.8052,0.66,0.9,0.92,0.9735003128780348,0.6448908466773791,0.9419293222931612
164,0.79,0.88,0.93,0.61,0.92,0.91,0.849,0.6781,0.8047,0.69,0.9,0.92,0.9732738265721462,0.6525891507853941,0.9417305852471577
165,0.77,0.88,0.92,0.57,0.91,0.92,0.8505,0.6462,0.7997,0.65,0.9,0.92,0.9735800032779377,0.649632834899885,0.942760830973078
166,0.77,0.88,0.93,0.57,0.91,0.92,0.8498,0.6462,0.8005,0.65,0.9,0.92,0.9733929812227987,0.6377352629110317,0.9423267151569481
